iter	Passed	Remaining
0	44	89465
1	82	82834
2	118	79003
3	154	77149
4	192	76724
5	230	76531
6	268	76441
7	304	75808
8	344	76180
9	378	75324
10	416	75238
11	451	74739
12	485	74236
13	521	73997
14	560	74211
15	598	74175
16	634	74042
17	670	73829
18	705	73559
19	741	73451
20	778	73340
21	811	72979
22	846	72755
23	879	72406
24	916	72395
25	948	72021
26	985	72037
27	1021	71926
28	1051	71448
29	1085	71289
30	1117	70991
31	1149	70714
32	1185	70673
33	1220	70566
34	1251	70277
35	1283	70005
36	1318	69927
37	1353	69862
38	1388	69801
39	1444	70795
40	1482	70826
41	1517	70743
42	1550	70581
43	1583	70372
44	1618	70312
45	1650	70128
46	1687	70116
47	1720	69965
48	1753	69828
49	1787	69727
50	1825	69750
51	1859	69666
52	1896	69663
53	1932	69643
54	1969	69631
55	2003	69549
56	2035	69384
57	2070	69318
58	2105	69266
59	2139	69193
60	2181	69331
61	2219	69376
62	2253	69282
63	2282	69034
64	2313	68871
65	2346	68767
66	2380	68676
67	2415	68623
68	2444	68411
69	2476	68284
70	2508	68152
71	2541	68061
72	2572	67913
73	2605	67803
74	2643	67848
75	2675	67738
76	2710	67695
77	2743	67607
78	2776	67524
79	2811	67486
80	2843	67378
81	2879	67348
82	2916	67354
83	2952	67351
84	2991	67397
85	3030	67443
86	3068	67461
87	3105	67468
88	3147	67589
89	3184	67591
90	3221	67581
91	3256	67527
92	3294	67564
93	3330	67531
94	3365	67479
95	3401	67454
96	3433	67361
97	3464	67230
98	3497	67163
99	3532	67125
100	3567	67067
101	3600	66998
102	3633	66916
103	3666	66851
104	3699	66764
105	3731	66674
106	3765	66625
107	3799	66563
108	3830	66455
109	3863	66384
110	3897	66324
111	3929	66241
112	3962	66165
113	3999	66169
114	4030	66064
115	4063	65992
116	4094	65903
117	4128	65844
118	4161	65778
119	4196	65743
120	4231	65713
121	4264	65652
122	4300	65625
123	4333	65557
124	4365	65476
125	4399	65437
126	4431	65358
127	4468	65354
128	4502	65307
129	4536	65261
130	4568	65174
131	4602	65133
132	4637	65096
133	4672	65060
134	4707	65031
135	4742	64995
136	4775	64943
137	4806	64859
138	4840	64812
139	4871	64719
140	4902	64641
141	4935	64582
142	4969	64531
143	5005	64509
144	5036	64438
145	5067	64349
146	5103	64332
147	5133	64235
148	5164	64160
149	5198	64109
150	5234	64093
151	5265	64020
152	5300	63984
153	5334	63941
154	5366	63876
155	5398	63809
156	5432	63769
157	5484	63941
158	5524	63965
159	5565	64000
160	5606	64042
161	5643	64034
162	5677	63985
163	5713	63963
164	5754	63994
165	5790	63970
166	5828	63978
167	5865	63966
168	5901	63934
169	5936	63904
170	5974	63907
171	6007	63851
172	6052	63919
173	6089	63900
174	6120	63832
175	6160	63840
176	6194	63802
177	6230	63770
178	6266	63748
179	6302	63729
180	6334	63658
181	6369	63626
182	6402	63570
183	6435	63519
184	6470	63480
185	6503	63423
186	6536	63374
187	6567	63300
188	6601	63257
189	6639	63249
190	6674	63217
191	6708	63176
192	6745	63152
193	6779	63112
194	6816	63093
195	6847	63028
196	6880	62971
197	6912	62914
198	6947	62878
199	6980	62823
200	7012	62768
201	7046	62717
202	7078	62664
203	7111	62608
204	7150	62610
205	7189	62612
206	7248	62784
207	7303	62923
208	7345	62943
209	7389	62982
210	7426	62969
211	7466	62975
212	7512	63025
213	7573	63205
214	7624	63304
215	7674	63381
216	7719	63424
217	7760	63439
218	7800	63437
219	7847	63490
220	7887	63495
221	7931	63526
222	7975	63552
223	8017	63566
224	8057	63565
225	8103	63609
226	8149	63654
227	8194	63683
228	8236	63701
229	8278	63708
230	8320	63719
231	8362	63728
232	8403	63728
233	8442	63714
234	8489	63763
235	8539	63826
236	8580	63830
237	8627	63869
238	8668	63869
239	8735	64060
240	8817	64356
241	8907	64705
242	8966	64828
243	9004	64801
244	9051	64835
245	9105	64921
246	9159	65003
247	9256	65389
248	9305	65435
249	9364	65554
250	9425	65678
251	9477	65740
252	9520	65741
253	9564	65745
254	9606	65741
255	9651	65750
256	9732	66004
257	9778	66026
258	9818	65996
259	9855	65956
260	9896	65941
261	9936	65916
262	9984	65944
263	10031	65965
264	10069	65928
265	10100	65844
266	10129	65747
267	10159	65655
268	10187	65553
269	10215	65454
270	10243	65351
271	10268	65234
272	10295	65132
273	10323	65031
274	10356	64964
275	10388	64892
276	10421	64824
277	10453	64754
278	10484	64673
279	10513	64584
280	10543	64500
281	10572	64411
282	10605	64342
283	10632	64245
284	10658	64135
285	10683	64027
286	10712	63938
287	10740	63843
288	10767	63745
289	10798	63673
290	10828	63594
291	10858	63512
292	10896	63481
293	10938	63475
294	10972	63418
295	11005	63357
296	11035	63278
297	11066	63203
298	11101	63154
299	11131	63078
300	11161	63000
301	11191	62922
302	11225	62872
303	11271	62882
304	11313	62871
305	11351	62840
306	11388	62805
307	11423	62756
308	11453	62681
309	11485	62611
310	11516	62543
311	11555	62517
312	11600	62523
313	11640	62505
314	11670	62430
315	11702	62364
316	11733	62292
317	11762	62215
318	11795	62155
319	11825	62082
320	11854	62005
321	11888	61950
322	11919	61885
323	11951	61824
324	11982	61756
325	12014	61693
326	12048	61644
327	12079	61578
328	12109	61503
329	12140	61440
330	12170	61369
331	12204	61314
332	12236	61255
333	12279	61252
334	12352	61392
335	12409	61456
336	12440	61389
337	12478	61360
338	12513	61313
339	12550	61275
340	12586	61236
341	12613	61151
342	12642	61073
343	12669	60990
344	12716	61000
345	12760	60997
346	12801	60981
347	12846	60984
348	12891	60983
349	12930	60960
350	12967	60923
351	13007	60896
352	13036	60826
353	13081	60823
354	13112	60759
355	13143	60696
356	13188	60697
357	13230	60685
358	13263	60629
359	13294	60565
360	13325	60497
361	13357	60442
362	13387	60370
363	13417	60305
364	13446	60235
365	13481	60188
366	13513	60130
367	13542	60057
368	13589	60068
369	13625	60025
370	13660	59979
371	13706	59982
372	13755	60000
373	13794	59974
374	13835	59951
375	13884	59968
376	13941	60017
377	14027	60191
378	14151	60526
379	14215	60602
380	14267	60629
